13_396	-0.663979	-0.0686226	2
12_111	0.844786	-0.00237569	2
13_1098	0.13791	-0.510798	2
12_65	-1.52747	0.077717	2
13_318	-0.975526	-0.098773	2
13_252	-1.05541	-0.0422071	2
13_1151	1.07843	-0.510976	2
13_116	-1.07571	0.0659392	2
13_635	-1.0539	-0.0902433	2
13_180	-2.23519	0.311737	2
11_198	-1.15735	0.0049242	2
11_58	-1.73229	0.0590986	2
12_81	-1.23065	0.0339541	2
13_960	0.132667	-0.499152	2
13_273	-2.91109	0.640329	2
10_9	-0.646298	0.0624934	2
12_138	-1.38021	-0.0920703	2
12_151	-2.02764	0.201823	2
10_56	1.56279	-0.398666	2
12_372	-1.47445	0.132486	2
12_303	-1.33854	-0.161161	2
13_714	-0.479896	-0.334672	2
13_628	0.172304	-0.168266	2
13_471	-0.0274867	-0.254104	2
13_328	-0.621028	-0.102454	2
13_959	-1.01289	-0.137523	2
11_99	1.40544	-0.230412	2
13_695	-0.0346407	-0.23943	2
10_3	-2.38786	0.459287	2
12_144	0.101807	-0.00667366	2
13_464	-1.04123	-0.00901713	2
13_974	-1.05495	-0.142496	2
11_106	-1.80689	0.132587	2
13_555	-0.668143	0.176896	2
12_460	1.63133	-0.553709	2
8_8	-1.37771	-0.164868	2
12_257	-1.44129	0.14621	2
13_285	-1.72097	0.111284	2
12_145	-0.694141	-0.13221	2
12_117	-1.53224	0.0549768	2
13_787	5.7529	1.28173	2
13_243	-1.04937	0.00108364	2
13_1255	1.99425	-0.467768	2
13_725	1.93571	-0.173551	2
12_39	-0.782207	-0.00165817	2
11_217	0.373211	-0.530964	2
10_41	-0.526341	-0.17142	2
12_44	-2.09221	0.266784	2
11_141	-0.908819	-0.149848	2
13_1173	0.601729	-0.470805	2
13_939	1.07837	-0.388949	2
13_1209	1.90546	-0.283083	2
13_1122	0.637067	-0.319186	2
13_524	0.603822	-0.298449	2
12_355	-1.43241	-0.0479359	2
13_1252	4.14938	-0.374931	2
13_1004	2.39514	-0.374029	2
13_496	-1.12349	-0.190974	2
13_504	-1.01547	-0.0492551	2
13_1014	-1.01028	-0.145762	2
13_943	4.12871	-0.121374	2
13_948	1.47237	-0.102972	2
11_104	0.359003	-0.0588778	2
13_167	-2.21365	0.487922	2
13_127	-2.30669	0.417913	2
13_216	-1.05103	0.0209356	2
13_885	1.92062	-0.0754181	2
13_1025	-1.63414	0.162485	2
12_462	0.527474	-0.609625	2
13_981	-1.69619	0.0485145	2
13_1092	-1.02717	-0.152816	2
13_130	-3.64705	1.02635	2
12_319	-0.0974068	-0.47505	2
10_102	0.340618	0.0103516	2
12_425	1.06038	-0.555093	2
11_113	0.986177	-0.248758	2
12_454	1.08564	-0.564907	2
13_1266	1.77718	-0.498929	2
11_149	-1.75769	0.0576449	2
