Vertex No.,Number of Graphs,Eigens/Linear,Eigens/Polynomial,Squared Eigens/Linear,Squared Eigens/Polynomial
3,8,0,0,0,0
4,29,0.248,0,21.774,0
5,110,0.235,0.114,25.653,7.695
6,508,0.213,0.127,27.316,8.778
7,2551,0.173,0.111,26.394,7.882
8,14670,0.15,0.1,25.956,7.218
9,92788,0.127,0.087,25.061,6.321
AVERAGE,110664,0.131634,0.089457936,25.21863918,6.486424348
