Vertex No.,Eigens All,Eigens Correct,Eigens Misclassify,Squared Eigens All,Squared Eigens Correct,Squared Eigens Misclassify
3,0.000,0.000,0.000,0.000,0.000,0.000
4,0.248,0.203,0.151,21.774,21.482,13.997
5,0.235,0.141,0.248,25.653,25.060,21.253
6,0.213,0.200,0.350,27.316,30.048,29.451
7,0.173,0.216,0.128,26.394,41.366,19.894
8,0.150,0.141,0.006,25.956,30.219,11.164
9,0.127,0.142,0.336,25.061,31.356,36.116
AVERAGE,0.132,0.168,0.199,25.219,29.668,18.741
